NOWAK,142280
KOWALSKI,91747
WIŚNIEWSKI,71996
WÓJCIK,65237
KOWALCZYK,64139
KAMIŃSKI,61975
LEWANDOWSKI,60769
DĄBROWSKI,59893
ZIELIŃSKI,59755
SZYMAŃSKI,58459
WOŹNIAK,58414
KOZŁOWSKI,49812
JANKOWSKI,45140
MAZUR,44204
WOJCIECHOWSKI,43316
KWIATKOWSKI,43291
KRAWCZYK,41934
KACZMAREK,40813
PIOTROWSKI,40164
GRABOWSKI,38182
ZAJĄC,36602
PAWŁOWSKI,36439
MICHALSKI,35850
KRÓL,35475
NOWAKOWSKI,34456
WIECZOREK,33305
WRÓBEL,33295
JABŁOŃSKI,32848
ADAMCZYK,32550
DUDEK,32550
MAJEWSKI,32190
NOWICKI,31499
OLSZEWSKI,31330
STĘPIEŃ,31081
JAWORSKI,30850
MALINOWSKI,30808
PAWLAK,30092
GÓRSKI,29451
WITKOWSKI,29149
SIKORA,29087
WALCZAK,29034
RUTKOWSKI,28615
BARAN,28290
MICHALAK,28065
SZEWCZYK,27735
OSTROWSKI,27271
TOMASZEWSKI,26165
PIETRZAK,25683
ZALEWSKI,25620
DUDA,25600
WRÓBLEWSKI,25303
JASIŃSKI,25093
MARCINIAK,24984
ZAWADZKI,24648
SADOWSKI,24644
BĄK,24640
JAKUBOWSKI,24506
WILK,23399
CHMIELEWSKI,23330
WŁODARCZYK,23297
BORKOWSKI,22875
SOKOŁOWSKI,22322
SZCZEPAŃSKI,22273
SAWICKI,22179
LIS,21929
KUCHARSKI,21722
MAZUREK,21135
KUBIAK,21064
KALINOWSKI,20993
WYSOCKI,20942
MACIEJEWSKI,20924
CZARNECKI,20832
KOŁODZIEJ,20108
KAŹMIERCZAK,19903
URBAŃSKI,19872
SOBCZAK,19019
KONIECZNY,18762
GŁOWACKI,18516
WASILEWSKI,18294
KRUPA,18280
ZAKRZEWSKI,18269
KRAJEWSKI,18202
ADAMSKI,18002
SIKORSKI,17979
MRÓZ,17871
LASKOWSKI,17804
ZIÓŁKOWSKI,17804
GAJEWSKI,17774
SZULC,17686
MAKOWSKI,17642
BARANOWSKI,17449
SZYMCZAK,17385
CZERWIŃSKI,17372
BRZEZIŃSKI,17309
KACZMARCZYK,17304
PRZYBYLSKI,17283
BŁASZCZYK,17141
ANDRZEJEWSKI,17088
CIEŚLAK,17066
BOROWSKI,17057
KANIA,16826
CHOJNACKI,16790
GÓRECKI,16774
JANIK,16638
SZCZEPANIAK,16627
KOZAK,16458
LIPIŃSKI,16312
LESZCZYŃSKI,16289
MUCHA,16285
KOZIOŁ,16200
WESOŁOWSKI,16198
KOWALEWSKI,16105
MIKOŁAJCZYK,16027
NOWACKI,15925
DOMAŃSKI,15919
CIESIELSKI,15585
JAROSZ,15575
MUSIAŁ,15545
KOWALIK,15511
ZIĘBA,15470
KOŁODZIEJCZYK,15333
MARKOWSKI,15196
KOPEĆ,15113
BRZOZOWSKI,15062
KUREK,14899
PIĄTEK,14871
ŻAK,14835
ORŁOWSKI,14769
TOMCZYK,14729
PAWLIK,14722
TOMCZAK,14682
URBANIAK,14478
WAWRZYNIAK,14418
KOT,14383
MARKIEWICZ,14299
WÓJTOWICZ,14234
WOLSKI,14141
CZAJKOWSKI,14014
POLAK,13975
KRUK,13931
STASIAK,13918
NAWROCKI,13888
SOWA,13877
STANKIEWICZ,13686
ŁUCZAK,13647
JASTRZĘBSKI,13573
KARPIŃSKI,13537
DZIEDZIC,13380
WIERZBICKI,13372
PIASECKI,13227
GAJDA,13130
KLIMEK,13074
BEDNAREK,13029
STEFAŃSKI,12874
JANICKI,12839
URBAN,12823
JÓŹWIAK,12777
BIELECKI,12728
DOMAGAŁA,12687
SOSNOWSKI,12619
MAJCHRZAK,12587
MADEJ,12569
MAJ,12419
MILEWSKI,12416
DOBROWOLSKI,12410
MAŁECKI,12360
KOWAL,12255
SKIBA,12252
LEŚNIAK,12250
ŚLIWIŃSKI,12249
SOCHA,12017
MAREK,11979
BEDNARCZYK,11829
WRONA,11822
KASPRZAK,11743
MATUSZEWSKI,11634
PAJĄK,11607
OLEJNICZAK,11578
WILCZYŃSKI,11404
RATAJCZAK,11395
ROMANOWSKI,11366
ŚWIĄTEK,11295
MICHALIK,11291
OWCZAREK,11289
KUROWSKI,11255
GRZELAK,11232
ORZECHOWSKI,11223
OLEJNIK,11122
ŁUKASIK,11055
MAZURKIEWICZ,10873
SOBOLEWSKI,10871
ROGOWSKI,10869
BUKOWSKI,10836
SROKA,10818
MATUSIAK,10811
KĘDZIERSKI,10801
BARAŃSKI,10773
KOSIŃSKI,10742
CZAJKA,10638
KOZIEŁ,10573
SOBCZYK,10569
MARCINKOWSKI,10561
SKOWROŃSKI,10550
MARSZAŁEK,10517
RYBAK,10509
ZYCH,10451
CHRZANOWSKI,10439
BEDNARSKI,10362
LISOWSKI,10328
BEDNARZ,10278
PLUTA,10252
JANISZEWSKI,10244
KASPRZYK,10236
ŚWIDERSKI,10220
KWIECIEŃ,10129
BIAŁEK,10107
KUCZYŃSKI,10102
MUSZYŃSKI,10097
MARCZAK,10077
CZECH,10047
WITEK,10034
JĘDRZEJEWSKI,10026
MORAWSKI,10008
PALUCH,10006
GRZYBOWSKI,9983
TUREK,9951
CZAJA,9931
DĘBSKI,9851
ŻUKOWSKI,9844
CIEŚLIK,9833
KACZOR,9833
MARZEC,9832
CHMIEL,9824
MAŁEK,9725
OSIŃSKI,9702
KUBICKI,9686
PIEKARSKI,9681
SZCZĘSNY,9586
KRZEMIŃSKI,9552
ŚLIWA,9526
JANOWSKI,9482
STEFANIAK,9462
PRZYBYSZ,9438
BIERNACKI,9427
GOŁĘBIEWSKI,9409
MICHAŁOWSKI,9395
KULESZA,9341
LECH,9316
SZYDŁOWSKI,9305
SMOLIŃSKI,9300
KACPRZAK,9260
CZYŻ,9245
LEWICKI,9243
STANISZEWSKI,9237
KUJAWA,9234
AUGUSTYNIAK,9205
NIEMIEC,9189
MURAWSKI,9167
POPŁAWSKI,9166
RAK,9148
RUDNICKI,9142
PIETRZYK,9124
GÓRA,9114
ŻUREK,9100
BANACH,9095
PIĄTKOWSKI,9086
SERAFIN,9008
MATYSIAK,8979
GÓRNY,8958
SOWIŃSKI,8958
GOŁĘBIOWSKI,8940
STACHOWIAK,8940
KARCZEWSKI,8905
BANAŚ,8896
PODGÓRSKI,8882
ZAWADA,8808
KLIMCZAK,8782
ROSIŃSKI,8755
DROZD,8748
ŻURAWSKI,8740
BIENIEK,8706
CYBULSKI,8706
GÓRKA,8671
GRUSZKA,8639
GODLEWSKI,8609
PRZYBYŁA,8531
KUŚ,8527
SKRZYPCZAK,8509
CICHOŃ,8472
GROCHOWSKI,8472
KOMOROWSKI,8455
CICHOCKI,8419
KRAWIEC,8389
PTAK,8376
PANEK,8340
SIWEK,8328
NIEWIADOMSKI,8307
GIL,8305
KULIK,8259
RÓŻAŃSKI,8240
MIELCZAREK,8227
WINIARSKI,8183
GRACZYK,8155
KONOPKA,8147
KRZYŻANOWSKI,8092
GRZYB,8088
SŁOWIK,8086
KŁOS,8078
FILIPIAK,8072
SZCZEPANIK,8046
ZARZYCKI,8017
STAŃCZYK,7993
ANTCZAK,7987
LEŚNIEWSKI,7976
TOKARSKI,7922
SZYMCZYK,7886
KACZYŃSKI,7872
MIKOŁAJCZAK,7866
MŁYNARCZYK,7856
STRZELECKI,7851
ZAREMBA,7851
CIEŚLA,7831
SKOWRON,7801
MAĆKOWIAK,7798
BUCZEK,7769
GĄSIOR,7738
JANUS,7697
JUREK,7697
BIERNAT,7696
BARTKOWIAK,7666
SZOSTAK,7664
JANIAK,7647
SZCZYGIEŁ,7615
BOGUSZ,7612
PAŁKA,7580
WĘGRZYN,7577
KULA,7565
DŁUGOSZ,7543
KALETA,7543
GAWRON,7521
BANASIAK,7519
FRĄCZEK,7512
KOSTRZEWA,7512
BARTCZAK,7506
KUCHARCZYK,7492
KSIĄŻEK,7479
RAKOWSKI,7478
KUBIK,7477
RÓŻYCKI,7429
SIENKIEWICZ,7409
RZEPKA,7400
KRÓLIKOWSKI,7374
GAWLIK,7329
BAGIŃSKI,7287
MALEC,7268
DOBOSZ,7256
ZARĘBA,7213
ROGALA,7211
TRZCIŃSKI,7209
ROGALSKI,7200
WITCZAK,7197
ŻEBROWSKI,7194
TKACZYK,7169
HAJDUK,7128
GAWROŃSKI,7110
KISIEL,7088
ROJEK,7060
GRZEGORCZYK,7050
RYBICKI,7020
WOLNY,7019
CICHY,7018
TROJANOWSKI,7010
MIKULSKI,6991
FRANKOWSKI,6989
MALISZEWSKI,6972
NAWROT,6911
DUDZIŃSKI,6909
WĄSIK,6909
LACH,6894
RADOMSKI,6892
FRĄCKOWIAK,6870
KACZOROWSKI,6846
BOREK,6824
FIJAŁKOWSKI,6802
GAŁĄZKA,6755
GRZESIAK,6736
BIAŁAS,6733
MIKA,6717
ŚLUSARCZYK,6714
BOGUCKI,6688
STEC,6664
CZYŻEWSKI,6660
SOKÓŁ,6657
PAWELEC,6656
WNUK,6645
ROSIAK,6634
ZABOROWSKI,6634
WIĘCKOWSKI,6620
LIPSKI,6612
WOJTCZAK,6609
KWAŚNIEWSKI,6596
WALKOWIAK,6584
KMIECIK,6570
DĄBEK,6563
WÓJCICKI,6550
BOCHENEK,6545
KOŁODZIEJSKI,6491
BURZYŃSKI,6447
JANAS,6446
DRZEWIECKI,6445
PIETRAS,6443
KRYSIAK,6419
CEBULA,6408
LASOTA,6405
ZYGMUNT,6401
JUSZCZAK,6390
ŻMUDA,6375
MROCZEK,6362
KARWOWSKI,6349
CYGAN,6339
SKRZYPEK,6321
JĘDRZEJCZYK,6317
WROŃSKI,6302
ŁUKASIEWICZ,6296
GRUSZCZYŃSKI,6292
FILIPEK,6286
DĘBOWSKI,6281
GAWEŁ,6280
KARAŚ,6278
MASŁOWSKI,6268
FLIS,6259
MISIAK,6250
KAŁUŻA,6247
PASTERNAK,6246
BUJAK,6239
SZAFRAŃSKI,6232
ZAJĄCZKOWSKI,6230
ŁAPIŃSKI,6224
PIWOWARCZYK,6182
PIÓRKOWSKI,6175
FALKOWSKI,6159
BIELAWSKI,6158
CZAPLA,6139
BOROWIEC,6136
JAGODZIŃSKI,6134
JĘDRZEJCZAK,6122
JAGIEŁŁO,6117
SKIBIŃSKI,6117
KAŁUŻNY,6113
KRAKOWIAK,6113
GUTOWSKI,6097
ŁUKASZEWSKI,6090
ZIELONKA,6079
LISIECKI,6070
KUBACKI,6061
WILCZEK,6042
DROZDOWSKI,6008
STELMACH,6002
SOBIERAJ,5989
SOŁTYS,5986
URBAŃCZYK,5986
TARNOWSKI,5976
JURKIEWICZ,5969
SZCZEŚNIAK,5969
WOŹNY,5967
SKOCZYLAS,5949
TWARDOWSKI,5947
NOWACZYK,5946
JAKUBIAK,5940
STRZELCZYK,5935
PAKUŁA,5932
PILARSKI,5932
RACZYŃSKI,5931
ANDRZEJCZAK,5929
WASIAK,5927
KUBICA,5908
BARTOSIK,5904
CISZEWSKI,5888
GĄSIOROWSKI,5883
KĘDZIORA,5859
DUBIEL,5824
DZIUBA,5822
MIERZEJEWSKI,5793
BILSKI,5770
GOŁĄB,5768
BOBER,5760
GUZIK,5750
GÓRNIAK,5730
MAJCHER,5718
MILCZAREK,5707
KOPCZYŃSKI,5692
STANEK,5683
GÓRAL,5644
WIĘCEK,5634
CHOLEWA,5628
SZWED,5626
FLOREK,5608
STASZEWSKI,5606
